country,year,wooded,agriculture
Austria,2015,4013420,2561905
Austria,2016,4016630,2557200
Austria,2017,4019820,2326412
Austria,2018,4023010,2349268
Austria,2019,4026200,2354391
Belgium,2018,722200,1464568
Belgium,2017,722200,1433746
Belgium,2019,722200,1502508
Belgium,2015,722200,1471168
Belgium,2016,722200,1427972
Czech Republic,2015,2668390,3391515
Czech Republic,2018,2673470,3491240
Czech Republic,2017,2671660,3488847
Czech Republic,2016,2669850,3423637
Czech Republic,2019,2675280,3517888
Denmark,2015,668760,2680181
Denmark,2016,669050,2863519
Denmark,2017,668130,2897037
Denmark,2018,667230,2907353
Denmark,2019,666310,2888997
Finland,2018,23155000,2294215
Finland,2019,23155000,2324369
Finland,2017,23155000,2242795
Finland,2016,23155000,2228807
Finland,2015,23155000,2195083
France,2019,18002200,26421696
France,2018,17908400,26141140
France,2017,17814600,25965716
France,2016,17720800,25575656
France,2015,17627000,25574142
Germany,2017,11419000,16418794
Germany,2016,11419000,16002760
Germany,2015,11419000,16164856
Germany,2019,11419000,16715361
Germany,2018,11419000,16374633
Greece,2019,6536520,3147682
Greece,2018,6536520,3240196
Greece,2017,6536520,3336469
Greece,2016,6536520,3449797
Greece,2015,6536520,3347527
Ireland,2015,812870,4479414
Ireland,2016,824320,4506063
Ireland,2018,839760,4543043
Ireland,2019,843760,4285903
Ireland,2017,835760,4572993
Italy,2015,11110320,11625586
Italy,2016,11174650,11834391
Italy,2017,11238980,11750201
Italy,2018,11303310,12063099
Italy,2019,11367640,11837670
Netherlands,2015,364830,1819754
Netherlands,2016,365760,1810953
Netherlands,2017,366700,1788965
Netherlands,2018,367630,1835872
Netherlands,2019,368570,1848150
Poland,2015,9420000,14115602
Poland,2016,9435000,14566644
Poland,2017,9447000,14680616
Poland,2018,9459000,14654685
Poland,2019,9471000,14437127
Portugal,2017,4855000,2382826
Portugal,2015,4855000,2507072
Portugal,2016,4855000,2495811
Portugal,2018,4855000,2400376
Portugal,2019,4855000,2239104
Spain,2018,27954000,20145029
Spain,2019,27954000,20688501
Spain,2015,27955120,20183007
Spain,2016,27953830,20204087
Spain,2017,27954000,20306608
Sweden,2018,30344000,3072891
Sweden,2017,30344000,2902278
Sweden,2016,30344000,2993721
Sweden,2015,30344000,2966499
Sweden,2019,30344000,2985464
United Kingdom,2018,3193000,16027258
United Kingdom,2015,3175000,16116167
United Kingdom,2016,3179000,16003725
United Kingdom,2017,3184000,15552865
United Kingdom,2019,3202000,16001119
