country,year,recycle,landfill,incineration_with_energy_recovery,incineration_without_energy_recovery,backfill,other_disposal
Belgium,2010,22349021,2035603,3357396,1970810,0,0
Belgium,2012,29679242,1196224,3510394,2702775,0,0
Belgium,2014,31205516,1173595,4358170,1650627,0,0
Belgium,2018,35777792,1936674,4886456,1740553,0,0
Belgium,2020,36926237,1169043,3642816,577864,0,0
Croatia,2010,714447,1405798,38355,23838,0,417028
Croatia,2012,814728,1446592,215531,93,0,5590
Croatia,2014,1321697,1428185,64964,51,2298,12465
Croatia,2018,1859021,1362274,177788,9946,7038,8843
Croatia,2020,2007178,1132242,45683,2021,26885,8314
Cyprus,2010,468975,538544,1477,6856,292,1199
Cyprus,2012,267886,501765,19880,6702,17353,174
Cyprus,2014,223623,473673,7475,20,0,0
Cyprus,2018,270193,552050,31473,20,0,0
Cyprus,2020,353464,424396,14239,17,0,0
Denmark,2010,4514291,503229,2827451,0,0,0
Denmark,2012,5238967,451286,2763647,2873,0,81190
Denmark,2014,4776745,105597,3080619,7766,0,87692
Denmark,2018,5093709,107685,3103928,12040,530767,870
Denmark,2020,5116686,118335,3027413,7100,174787,1040
Finland,2010,6726036,3361335,5904591,366622,0,49993
Finland,2012,8823238,2344935,4212467,437642,0,39971
Finland,2014,4514210,1830562,9956694,485540,0,24965
Finland,2018,4229453,867965,5557374,98172,155812,32269
Finland,2020,4408211,771623,9577053,137723,68053,17145
France,2010,42649261,21837302,12279438,7561793,2903,642319
France,2012,42137561,20534207,11739333,7146561,2199,816187
France,2014,44731865,19800753,13502912,5869608,0,794974
France,2018,46547026,21000656,17699804,4067903,0,728059
France,2020,42219544,19189879,22668881,3987647,0,677414
Germany,2010,73827184,11263069,43919354,12398518,9148335,19803
Germany,2012,73579386,13066628,36987234,10780136,7573913,10392
Germany,2014,77244623,15944461,32488902,8109092,6452442,13763
Germany,2018,77739480,15129508,45147258,1898306,5713861,30428
Germany,2020,76631417,12291456,27022086,1982989,4879007,19829
Hungary,2010,3670169,5455998,861163,79649,2133,0
Hungary,2012,3769752,5897435,967093,87141,1457,0
Hungary,2014,4175735,4799199,1255476,88568,0,0
Hungary,2018,4932029,4032234,1268349,81026,0,0
Hungary,2020,6251149,4083868,1106964,83812,8859,0
Italy,2010,44885419,21008734,2680884,6185433,0,0
Italy,2012,50969917,19456203,2876276,5937762,0,927
Italy,2014,52964367,16651361,9014667,6780521,138,0
Italy,2018,56544355,14789950,8899080,4060090,1,3129
Italy,2020,57607642,12005388,2681419,1024325,11,0
Malta,2010,76856,230791,161,8644,342,353
Malta,2012,90068,220837,102,6669,439,0
Malta,2014,87165,231820,425,6996,275,0
Malta,2018,111479,286341,1737,5894,0,0
Malta,2020,98025,292774,0,9024,0,0
Netherlands,2010,28686384,853004,9050098,4103739,0,25686
Netherlands,2012,29666763,1327217,10295699,1599993,0,36603
Netherlands,2014,32585074,1082556,9373290,1124737,0,46970
Netherlands,2018,22219353,808621,9321774,957538,0,83222
Netherlands,2020,32763393,820141,6772160,1100910,0,81766
Poland,2010,37635091,17935311,3879594,356573,4962285,59252
Poland,2012,37419133,19453192,3476927,326847,7029981,31872
Poland,2014,47056304,20609551,3733009,671509,4356952,34120
Poland,2018,41974885,18550716,5396697,627880,3253483,177
Poland,2020,27508124,11378254,6079848,283089,57937407,704
Portugal,2010,4673595,3731827,1465336,25048,0,0
Portugal,2012,4629248,3565836,1281550,32336,18186,0
Portugal,2014,5292832,3026359,1440589,23749,49829,0
Portugal,2018,3022199,3362248,1053599,23668,54179,0
Portugal,2020,3023112,3620568,1115832,33727,40574,0
Romania,2010,5527962,13513787,2161876,121199,17501,735806
Romania,2012,6413975,13547850,2072728,182178,196806,550489
Romania,2014,5399301,11640950,1959007,68015,22425,556035
Romania,2018,5694289,11271636,1647579,79654,2304,605802
Romania,2020,6368201,8853867,1530622,82830,41452,2935
Slovakia,2010,2028799,2882851,254858,65631,0,55500
Slovakia,2012,2205167,2931386,269995,71161,0,96055
Slovakia,2014,1986510,2559740,311503,58779,0,41962
Slovakia,2018,3459364,2770065,567608,40123,3850,62032
Slovakia,2020,4361614,2256733,597383,11565,0,22470
Slovenia,2010,1391911,860244,308338,35382,105515,158
Slovenia,2012,2326212,401839,364818,37452,26202,53
Slovenia,2014,1907078,248115,364519,38722,267,0
Slovenia,2018,2375350,129370,337950,66701,2568,0
Slovenia,2020,2177837,155091,336893,55691,1,0
Spain,2010,22299606,25517006,2309617,156212,46554,36007
Spain,2012,23355076,23308081,3446394,9250,43932,270185
Spain,2014,25121451,25759726,3742540,8387,31481,2373
Spain,2018,24729090,23886729,3481979,154261,32401,6034
Spain,2020,22343923,19603694,3731776,109854,200523,137992
