country,year,total_disposal,loss
Belgium,2018,8563683,35
Belgium,2020,5389723,377
Croatia,2018,1558851,275
Croatia,2020,1188260,51
Denmark,2018,3224523,80
Denmark,2020,3153888,55
France,2018,43496422,3087
France,2020,46523821,4192
Germany,2018,62205500,10001
Germany,2020,41316360,1724
Italy,2018,27752249,5148
Italy,2020,15711132,2464
Netherlands,2018,11171155,437
Netherlands,2020,8774977,270
Poland,2018,24575470,110
Poland,2020,17741895,327
Portugal,2018,4439515,157
Portugal,2020,4770127,88
Romania,2018,13604671,114
Romania,2020,10470254,370
Spain,2018,27529003,1919
Spain,2020,23583316,658
